"","stimuli","category","condition","sound","corpes_norm_spain","outlier","element","mean","median","n.char","Number","S1","S2","S3","S4","S5","S6"
"198","salchicha","food","fricative","s",2.46,"FALSE","word",6.45605263157895,4.855,9,3,"La","salchicha","que","comí","era","picante"
"199","salchicha","food","fricative","s",2.46,"FALSE","word",6.45605263157895,4.855,9,2,"La","salchicha","de","pavo","es","mejor"
"200","salchicha","food","fricative","s",2.46,"FALSE","word",6.45605263157895,4.855,9,1,"La","salchicha","se","me","quemó","mucho"
"201","salmón","food","fricative","s",5.53,"FALSE","word",6.45605263157895,4.855,6,4,"El","salmón","se","puede","comer","crudo"
"202","salmón","food","fricative","s",5.53,"FALSE","word",6.45605263157895,4.855,6,3,"El","salmón","ahumado","es","mi","favoritao"
"203","salmón","food","fricative","s",5.53,"FALSE","word",6.45605263157895,4.855,6,2,"El","salmón","fresco","es","delicioso",NA
"204","salmón","food","fricative","s",5.53,"FALSE","word",6.45605263157895,4.855,6,1,"El","salmón","salvaje","es","más","caro"
"205","sandía","food","fricative","s",2.27,"FALSE","word",6.45605263157895,4.855,6,3,"La","sandía","tiene","muchas","semillas","negras"
"206","sandía","food","fricative","s",2.27,"FALSE","word",6.45605263157895,4.855,6,4,"La","sandía","es","una","fruta","refrescante"
"207","sandía","food","fricative","s",2.27,"FALSE","word",6.45605263157895,4.855,6,1,"La","sandía","está","cortada","en","cubos"
"208","sandía","food","fricative","s",2.27,"FALSE","word",6.45605263157895,4.855,6,2,"La","sandía","es","una","fruta","grande"
"209","sartén","objects","fricative","s",13.24,"FALSE","word",7.26432432432432,6.89,6,3,"La","sarten","está","todavía","muy","caliente"
"210","sartén","objects","fricative","s",13.24,"FALSE","word",7.26432432432432,6.89,6,2,"La","sartén","de","hierro","es","resistente"
